pl,mom,dad,rep,time,rec,lar
A,A,P,1,24,16,6
D,C,P,1,24,13,11
E,A,P,1,24,15,8
F,C,P,1,24,10,18
F,A,P,1,24,8,15
G,C,P,1,24,5,21
A,C,P,2,24,4,20
I,C,P,2,24,6,20
J,C,P,2,24,0,28
L,A,P,2,24,9,11
O,A,P,2,24,9,13
R,A,P,2,24,30,22
A,A,P,1,48,15,7
D,C,P,1,48,8,14
E,A,P,1,48,14,10
F,C,P,1,48,12,16
F,A,P,1,48,8,15
G,C,P,1,48,6,17
A,C,P,2,48,6,16
I,C,P,2,48,4,17
J,C,P,2,48,0,22
L,A,P,2,48,9,11
O,A,P,2,48,12,9
R,A,P,2,48,14,8
B,A,QY,1,24,6,17
D,C,QY,1,24,10,12
I,A,QY,1,24,4,17
N,A,QY,1,24,10,11
O,C,QY,1,24,5,15
T,C,QY,1,24,1,20
A,C,QY,2,24,9,13
C,A,QY,2,24,8,11
J,A,QY,2,24,5,11
O,A,QY,2,24,11,9
P,C,QY,2,24,9,17
S,C,QY,2,24,5,18
B,A,QY,1,48,6,18
D,C,QY,1,48,10,11
I,A,QY,1,48,4,17
N,A,QY,1,48,8,10
O,C,QY,1,48,6,17
T,C,QY,1,48,2,16
A,C,QY,2,48,9,14
C,A,QY,2,48,12,10
J,A,QY,2,48,8,8
O,A,QY,2,48,11,10
P,C,QY,2,48,11,12
S,C,QY,2,48,9,16
C,C,R,1,24,9,18
E,A,R,1,24,12,26
F,A,R,1,24,17,13
H,C,R,1,24,4,17
K,A,R,1,24,11,25
N,C,R,1,24,10,15
D,A,R,2,24,8,17
E,C,R,2,24,12,7
I,C,R,2,24,3,20
J,C,R,2,24,8,15
K,A,R,2,24,10,12
Q,A,R,2,24,17,14
C,C,R,1,48,12,13
E,A,R,1,48,12,24
F,A,R,1,48,19,11
H,C,R,1,48,4,17
K,A,R,1,48,11,24
N,C,R,1,48,11,6
D,A,R,2,48,14,4
E,C,R,2,48,13,6
I,C,R,2,48,10,9
J,C,R,2,48,11,14
K,A,R,2,48,9,9
Q,A,R,2,48,18,14
F,A,S,1,24,21,28
H,A,S,1,24,10,27
K,C,S,1,24,3,22
P,C,S,1,24,5,19
S,C,S,1,24,11,12
S,A,S,1,24,23,21
B,C,S,2,24,2,23
D,A,S,2,24,18,8
F,C,S,2,24,6,15
H,C,S,2,24,5,16
P,A,S,2,24,4,23
R,A,S,2,24,14,10
F,A,S,1,48,18,23
H,A,S,1,48,12,21
K,C,S,1,48,5,19
P,C,S,1,48,8,14
S,C,S,1,48,9,10
S,A,S,1,48,20,18
B,C,S,2,48,2,23
D,A,S,2,48,8,13
F,C,S,2,48,6,14
H,C,S,2,48,6,18
P,A,S,2,48,5,14
R,A,S,2,48,6,15
A,A,TW,1,24,3,18
B,C,TW,1,24,0,26
G,C,TW,1,24,8,16
J,A,TW,1,24,12,10
N,A,TW,1,24,13,11
Q,C,TW,1,24,0,22
G,A,TW,2,24,4,32
J,A,TW,2,24,7,21
M,A,TW,2,24,8,29
N,C,TW,2,24,10,32
P,C,TW,2,24,9,20
Q,C,TW,2,24,9,30
A,A,TW,1,48,2,18
B,C,TW,1,48,1,27
G,C,TW,1,48,9,13
J,A,TW,1,48,11,10
N,A,TW,1,48,13,11
Q,C,TW,1,48,1,25
G,A,TW,2,48,3,31
J,A,TW,2,48,7,18
M,A,TW,2,48,7,28
N,C,TW,2,48,8,35
P,C,TW,2,48,11,26
Q,C,TW,2,48,9,25
H,C,V,1,24,14,16
H,A,V,1,24,0,20
L,C,V,1,24,13,10
M,A,V,1,24,18,5
O,A,V,1,24,11,10
S,C,V,1,24,9,18
B,A,V,2,24,11,19
D,A,V,2,24,7,13
E,C,V,2,24,30,2
P,C,V,2,24,1,41
R,C,V,2,24,13,12
S,A,V,2,24,19,6
H,C,V,1,48,16,13
H,A,V,1,48,6,12
L,C,V,1,48,18,6
M,A,V,1,48,21,0
O,A,V,1,48,13,9
S,C,V,1,48,12,10
B,A,V,2,48,19,8
D,A,V,2,48,21,2
E,C,V,2,48,30,4
P,C,V,2,48,1,41
R,C,V,2,48,28,17
S,A,V,2,48,21,2
C,A,TW,1,24,0,35
J,A,TW,1,24,0,25
K,C,TW,1,24,1,25
M,C,TW,1,24,6,25
Q,A,TW,1,24,8,18
T,C,TW,1,24,0,27
E,C,TW,2,24,12,19
I,C,TW,2,24,11,25
N,A,TW,2,24,13,10
Q,C,TW,2,24,9,19
Q,A,TW,2,24,6,18
R,A,TW,2,24,6,17
C,A,TW,1,48,0,34
J,A,TW,1,48,0,26
K,C,TW,1,48,9,12
M,C,TW,1,48,9,21
Q,A,TW,1,48,8,16
T,C,TW,1,48,4,18
E,C,TW,2,48,15,16
I,C,TW,2,48,12,23
N,A,TW,2,48,13,5
Q,C,TW,2,48,10,18
Q,A,TW,2,48,4,10
R,A,TW,2,48,11,5
D,A,X,1,24,11,12
K,C,X,1,24,0,25
O,C,X,1,24,1,23
R,C,X,1,24,11,9
S,A,X,1,24,5,18
T,A,X,1,24,7,17
A,A,X,2,24,8,15
C,C,X,2,24,5,18
E,A,X,2,24,8,15
N,C,X,2,24,10,19
T,A,X,2,24,2,17
T,C,X,2,24,0,22
D,A,X,1,48,10,10
K,C,X,1,48,0,22
O,C,X,1,48,2,28
R,C,X,1,48,8,14
S,A,X,1,48,5,12
T,A,X,1,48,8,15
A,A,X,2,48,10,10
C,C,X,2,48,6,18
E,A,X,2,48,7,16
N,C,X,2,48,8,21
T,A,X,2,48,2,19
T,C,X,2,48,1,18
B,C,QY,1,24,5,23
G,C,QY,1,24,4,24
G,A,QY,1,24,6,16
K,A,QY,1,24,7,7
L,C,QY,1,24,8,21
M,A,QY,1,24,8,14
B,C,QY,2,24,7,32
C,C,QY,2,24,10,20
M,C,QY,2,24,15,26
O,A,QY,2,24,8,17
P,A,QY,2,24,13,9
R,A,QY,2,24,5,15
B,C,QY,1,48,5,22
G,C,QY,1,48,4,18
G,A,QY,1,48,6,11
K,A,QY,1,48,10,1
L,C,QY,1,48,14,15
M,A,QY,1,48,12,11
B,C,QY,2,48,8,27
C,C,QY,2,48,10,31
M,C,QY,2,48,18,21
O,A,QY,2,48,13,11
P,A,QY,2,48,18,3
R,A,QY,2,48,10,6
C,C,Z,1,24,2,30
F,A,Z,1,24,6,14
G,C,Z,1,24,2,26
H,A,Z,1,24,7,14
I,A,Z,1,24,10,13
L,C,Z,1,24,12,14
A,A,Z,2,24,4,16
I,C,Z,2,24,6,12
L,A,Z,2,24,6,14
L,C,Z,2,24,14,8
M,C,Z,2,24,6,18
T,A,Z,2,24,2,17
C,C,Z,1,48,3,22
F,A,Z,1,48,6,11
G,C,Z,1,48,2,22
H,A,Z,1,48,11,12
I,A,Z,1,48,11,9
L,C,Z,1,48,13,15
A,A,Z,2,48,4,18
I,C,Z,2,48,6,13
L,A,Z,2,48,8,12
L,C,Z,2,48,13,11
M,C,Z,2,48,9,15
T,A,Z,2,48,3,16
