sample,mom,dad,time,lipid,egg
AP1,A,P,5,0.89,1.18
AP2,A,P,5,0.96,1.18
AQ1,A,QY,5,0.85,1.18
AQ2,A,QY,5,1.07,1.18
AR1,A,R,5,1.01,1.18
AR2,A,R,5,1.04,1.18
AS1,A,S,5,1.01,1.18
AS2,A,S,5,0.84,1.18
AT1,A,TW,5,1.05,1.18
AT2,A,TW,5,0.98,1.18
AX1,A,X,5,0.74,1.18
AX2,A,X,5,0.77,1.18
AY1,A,QY,5,0.75,1.18
AY2,A,QY,5,0.78,1.18
AZ1,A,Z,5,0.94,1.18
AZ2,A,Z,5,0.99,1.18
AV1,A,V,5,0.78,1.18
AV2,A,V,5,0.76,1.18
AW1,A,TW,5,0.71,1.18
AW2,A,TW,5,0.63,1.18
CP1,C,P,5,0.76,1.01
CP2,C,P,5,0.86,1.01
CQ1,C,QY,5,0.69,1.01
CQ2,C,QY,5,0.8,1.01
CR1,C,R,5,0.51,1.01
CR2,C,R,5,0.75,1.01
CS1,C,S,5,0.88,1.01
CS2,C,S,5,0.74,1.01
CT1,C,TW,5,0.72,1.01
CT2,C,TW,5,0.73,1.01
CV1,C,V,5,0.8,1.01
CV2,C,V,5,0.82,1.01
CW1,C,TW,5,0.57,1.01
CW2,C,TW,5,0.54,1.01
CX1,C,X,5,0.69,1.01
CX2,C,X,5,0.57,1.01
CY1,C,QY,5,0.79,1.01
CY2,C,QY,5,0.62,1.01
CZ1,C,Z,5,0.8,1.01
CZ2,C,Z,5,0.42,1.01
