culture,mom,dad,rep,wgg,day3,day3av
AP1,A,P,1,0.18,0.110931543,0.111242334
AP1,A,P,1,0.18,0.111553124,na
AP2,A,P,2,0.18,0.103845516,0.11169816
AP2,A,P,2,0.18,0.119550804,na
AR1,A,R,1,0.18,0.103945694,0.109414039
AR1,A,R,1,0.18,0.114882383,na
AR2,A,R,2,0.18,0.114743909,0.115779877
AR2,A,R,2,0.18,0.116815846,na
AS1,A,S,1,0.18,0.059127391,0.069181182
AS1,A,S,1,0.18,0.079234973,na
AS2,A,S,2,0.18,0.159995027,0.148827283
AS2,A,S,2,0.18,0.137659539,na
AT1,A,TW,1,0.18,0.137452345,0.129744737
AT1,A,TW,1,0.18,0.122037129,na
AT2,A,TW,2,0.18,0.054986339,0.054666154
AT2,A,TW,2,0.18,0.05434597,na
AV1,A,V,1,0.18,0.054303279,0.064485143
AV1,A,V,1,0.18,0.074667008,na
AV2,A,V,2,0.18,0.118059009,0.123901873
AV2,A,V,2,0.18,0.129744737,na
AW1,A,TW,1,0.18,0.056063618,0.059509609
AW1,A,TW,1,0.18,0.0629556,na
AW2,A,TW,2,0.18,0.033708858,0.067035921
AW2,A,TW,2,0.18,0.100362985,na
AX1,A,X,1,0.18,0.113169236,0.124792806
AX1,A,X,1,0.18,0.136416377,na
AX2,A,X,2,0.18,0.126305321,0.124088347
AX2,A,X,2,0.18,0.121871374,na
AY1,A,QY,1,0.18,0.116857285,0.113604343
AY1,A,QY,1,0.18,0.110351401,na
AY2,A,QY,2,0.18,0.089096309,0.102649319
AY2,A,QY,2,0.18,0.116202329,na
AZ1,A,Z,1,0.18,0.056565915,0.060941769
AZ1,A,Z,1,0.18,0.065317623,na
AZ2,A,Z,2,0.18,0.047643443,0.045636954
AZ2,A,Z,2,0.18,0.043630464,na
CP1,C,P,1,0.13,0.136755763,0.149530948
CP1,C,P,1,0.13,0.162306133,na
CP2,C,P,2,0.13,0.027066257,0.028731216
CP2,C,P,2,0.13,0.030396175,na
CR1,C,R,1,0.13,0.097008122,0.091331013
CR1,C,R,1,0.13,0.085653904,na
CR2,C,R,2,0.13,0.097110263,0.098241644
CR2,C,R,2,0.13,0.099373026,na
CS1,C,S,1,0.13,0.054559426,0.040812842
CS1,C,S,1,0.13,0.027066257,na
CS2,C,S,2,0.13,0.023309426,0.032189208
CS2,C,S,2,0.13,0.041068989,na
CT1,C,TW,1,0.13,0.123132042,0.121882808
CT1,C,TW,1,0.13,0.120633574,na
CT2,C,TW,2,0.13,0.082048732,0.091227416
CT2,C,TW,2,0.13,0.1004061,na
CV1,C,V,1,0.13,0.129967473,0.124711262
CV1,C,V,1,0.13,0.119455051,na
CV2,C,V,2,0.13,0.029072746,0.039809597
CV2,C,V,2,0.13,0.050546448,na
CW1,C,TW,1,0.13,0.114909664,0.111801757
CW1,C,TW,1,0.13,0.10869385,na
CW2,C,TW,2,0.13,0.116815161,0.120680715
CW2,C,TW,2,0.13,0.124546269,na
CX1,C,X,1,0.13,0.120916419,0.116650167
CX1,C,X,1,0.13,0.112383916,na
CX2,C,X,2,0.13,0.103380003,0.095507472
CX2,C,X,2,0.13,0.087634941,na
CY1,C,QY,1,0.13,0.103555445,0.092947124
CY1,C,QY,1,0.13,0.082338803,na
CY2,C,QY,2,0.13,0.08603215,0.093362561
CY2,C,QY,2,0.13,0.100692971,na
CZ1,C,Z,1,0.13,0.05173404,0.046410426
CZ1,C,Z,1,0.13,0.041086812,na
CZ2,C,Z,2,0.13,0.010028717,0.03079302
CZ2,C,Z,2,0.13,0.051557323,na
