rep,blue,geren,red,sire,dam
AP2,17.912,32.73,99.416,P,A
AP2,16.345,34.353,115.546,P,A
AP2,14.323,25.842,114.135,P,A
AP2,15.934,31.208,119.738,P,A
AP2,14.964,25.244,69.732,P,A
AP2,21.28,46.482,99.344,P,A
AP2,18.279,40.73,112.942,P,A
AP2,20.866,41.459,88.842,P,A
AP2,21.441,52.632,133.138,P,A
AP2,19.864,44.821,95.816,P,A
AP2,17.042,34.048,107.845,P,A
AP2,18.737,32.19,83.384,P,A
AP2,21.15,44.901,93.145,P,A
AP2,19.112,38.692,84.265,P,A
AP2,17.698,33.131,75.228,P,A
AP2,20.185,43.41,117.096,P,A
AP2,20.921,47.273,121.194,P,A
AP2,20.23,36.704,100.38,P,A
AP2,15.895,27.037,62.487,P,A
AP2,18.108,33.624,98.198,P,A
AP2,17.709,34.114,107.451,P,A
AP2,20.137,40.65,83.599,P,A
AP2,22.262,47.456,98.076,P,A
AP2,16.054,36.636,135.234,P,A
AQ1,14.959,19.535,49.01,QY,A
AQ1,20.701,34.472,98.473,QY,A
AQ1,19.516,31.454,47.884,QY,A
AQ1,21.894,34.609,101.072,QY,A
AQ1,18.429,27.092,73.429,QY,A
AQ1,18.957,26.924,73.353,QY,A
AQ1,21.927,39.111,91.043,QY,A
AQ1,20.628,36.114,91.118,QY,A
AQ1,20.031,36.662,95.712,QY,A
AQ1,20.393,37.565,88.905,QY,A
AQ1,21.502,37.109,80.351,QY,A
AQ1,21.774,37.819,63.95,QY,A
AQ1,18.635,27.908,81.914,QY,A
AQ2,16.627,30.372,72.565,QY,A
AQ2,18.229,37.585,86.613,QY,A
AQ2,17.609,31.597,51.891,QY,A
AQ2,17.42,28.912,72.282,QY,A
AQ2,15.332,25.583,76.133,QY,A
AQ2,20.957,44.782,73.076,QY,A
AQ2,19.136,40.083,101.908,QY,A
AQ2,21.626,45.477,78.172,QY,A
AQ2,18.886,36.594,92.524,QY,A
AQ2,20.085,44.533,109.782,QY,A
AQ2,20.408,43.52,99.842,QY,A
AQ2,17.572,30.911,58.908,QY,A
AR1,22.195,38.956,109.462,R,A
AR1,22.972,42.468,113.703,R,A
AR1,23.763,40.917,116.041,R,A
AR1,25.172,49.914,119.763,R,A
AR1,20.207,30.055,96.319,R,A
AR1,19.428,28.376,90.427,R,A
AR1,17.742,21.584,63.865,R,A
AR1,18.803,29.084,88.457,R,A
AR1,21.183,38.86,103.552,R,A
AR1,19.435,31.072,94.619,R,A
AR1,19.979,29.164,83.883,R,A
AR1,19.599,37.577,111.791,R,A
AR1,22.07,39.025,110.429,R,A
AR1,22.685,40.108,114.915,R,A
AR1,22.006,38.606,109.755,R,A
AR1,20.317,32.981,93.268,R,A
AR1,20.702,40.195,126.448,R,A
AR1,19.173,32.314,99.985,R,A
AR1,22.903,46.308,112.76,R,A
AR2,21.373,34.869,77.55,R,A
AR2,21.459,39.5,99.878,R,A
AR2,23.48,48.415,114.717,R,A
AR2,22.41,41.46,93.23,R,A
AR2,22.38,42.757,103.816,R,A
AR2,21.031,40.977,112.26,R,A
AR2,22.204,41.937,106.583,R,A
AR2,24.437,49.271,90.129,R,A
AR2,24.554,51.382,115.217,R,A
AS1,15.144,23.777,83.369,S,A
AS1,20.147,54.028,127.705,S,A
AS1,17.585,33.553,80.572,S,A
AS2,23.997,31.191,87.683,S,A
AS2,18.391,17.229,55.419,S,A
AS2,27.275,39.886,84.554,S,A
AS2,28.12,47.827,92.258,S,A
AS2,26.052,36.15,84.903,S,A
AS2,28.004,44.735,94.321,S,A
AS2,24.031,36.051,91.003,S,A
AS2,25.642,46.106,137.378,S,A
AS2,27.899,44.464,100.408,S,A
AS2,27.169,39.148,73.227,S,A
AT1,18.143,31.63,69.4,TW,A
AT1,20.027,37.817,70.367,TW,A
AT1,19.141,37.38,71.724,TW,A
AT1,15.776,25.507,47.079,TW,A
AT1,20.919,44.771,84.791,TW,A
AT1,19.803,41.971,83.373,TW,A
AT1,19.235,37.782,72.729,TW,A
AT1,18.742,34.475,74.34,TW,A
AT1,19.12,40.143,79.611,TW,A
AT1,19.123,38.019,80.37,TW,A
AT1,21.48,42.672,80.617,TW,A
AT1,20.449,40.129,71.128,TW,A
AT1,13.858,22.658,32.37,TW,A
AT2,26.762,42.34,73.35,TW,A
AT2,20.802,31.204,43.923,TW,A
AT2,21.695,32.115,45.158,TW,A
AT2,25.837,44.412,83.809,TW,A
AT2,23.183,31.987,60.996,TW,A
AT2,22.683,30.209,52,TW,A
AT2,24.663,38.009,94.708,TW,A
AT2,22.449,30.442,58.958,TW,A
AT2,27.068,43.009,74.85,TW,A
AT2,27.651,46.761,80.136,TW,A
AT2,20.474,29.834,56.585,TW,A
AV1,21.376,38.477,102.171,V,A
AV1,23.597,45.673,121.193,V,A
AV1,25.703,53.571,136.164,V,A
AV1,22.31,36.483,103.54,V,A
AV1,24.407,43.573,115.4,V,A
AV1,21.653,38.463,106.763,V,A
AV1,23.547,42.146,78.383,V,A
AV1,21.469,34.617,95.148,V,A
AV1,23.572,45.736,98.674,V,A
AV1,22.472,42.86,109.914,V,A
AV1,20.714,31.365,89.986,V,A
AV1,20.91,34.391,90.755,V,A
AV1,26.132,54.135,106.959,V,A
AV1,24.583,46.953,103.414,V,A
AV1,23.092,45.379,116.017,V,A
AV1,24.65,41.333,98.312,V,A
AV1,24.904,47.908,79.254,V,A
AV1,24.458,48.299,126.867,V,A
AV1,26.158,45.717,96.051,V,A
AV2,15.801,35.172,67.808,V,A
AV2,12.277,22.615,42.082,V,A
AV2,14.654,32.226,92.723,V,A
AV2,16.778,39.81,86.451,V,A
AV2,16.75,36.823,93.032,V,A
AV2,17.378,41.045,86.14,V,A
AV2,16.068,37.628,73.304,V,A
AV2,14.789,32.417,76.926,V,A
AV2,11.329,18.914,56.584,V,A
AV2,15.577,32.139,81.166,V,A
AW1,28.171,49.861,85.259,TW,A
AW1,32.437,61.718,118.699,TW,A
AW1,32.483,62.572,107.6,TW,A
AW1,27.617,55.001,112.153,TW,A
AW1,28.371,49.038,105.347,TW,A
AW1,34.421,68.714,117.131,TW,A
AW1,31.869,61.086,109.674,TW,A
AW1,28.472,47.507,94.79,TW,A
AW1,29.874,53.43,83.759,TW,A
AW1,25.903,41.959,95.43,TW,A
AW1,28.248,49.531,92.479,TW,A
AW1,24.343,40.473,75.531,TW,A
AW1,28.249,49.155,95.247,TW,A
AW1,28.911,51.592,95.225,TW,A
AW1,22.103,33.301,48.664,TW,A
AW1,24.594,39.808,78.822,TW,A
AW1,29.503,49.898,88.271,TW,A
AW1,25.348,41.688,88.264,TW,A
AW1,31.122,58.756,102.892,TW,A
AW1,26.596,50.046,85.011,TW,A
AW1,32.566,60.839,91.374,TW,A
AW1,32.349,60.967,102.2,TW,A
AW1,30.884,59.357,115.798,TW,A
AW1,31.279,56.271,96.262,TW,A
AW2,22.994,43.542,76.122,TW,A
AW2,23.325,39.83,75.168,TW,A
AW2,24.224,43.698,87.602,TW,A
AW2,23.765,42.25,89.64,TW,A
AW2,23.84,45.998,96.936,TW,A
AW2,26.952,57.559,103.206,TW,A
AW2,24.645,48.733,99.573,TW,A
AW2,27.499,55.629,88.102,TW,A
AW2,23.989,43.495,83.592,TW,A
AW2,15.957,22.667,41.575,TW,A
AW2,19.993,34.407,73.605,TW,A
AW2,24.943,51.034,101.671,TW,A
AW2,24.571,47.401,105.103,TW,A
AW2,24.318,45.607,94.236,TW,A
AW2,23.639,47.77,100.132,TW,A
AW2,21.331,43.326,118.555,TW,A
AW2,26.653,57.049,113.328,TW,A
AW2,26.819,56.854,115.71,TW,A
AW2,26.796,54.271,102.41,TW,A
AX1,19.588,40.611,66.511,X,A
AX1,17.929,38.773,76.452,X,A
AX1,19.913,42.796,64.038,X,A
AX1,15.615,31.35,119.558,X,A
AX1,17.776,34.597,60.016,X,A
AX1,19.392,37.374,67.203,X,A
AX1,21.552,48.411,73.198,X,A
AX1,19.696,41.849,64.827,X,A
AX1,17.437,35.585,118.653,X,A
AX1,18.898,44.893,85.019,X,A
AX1,21.863,52.085,85.016,X,A
AX1,19.146,42.385,81.353,X,A
AX1,17.423,33.462,80.65,X,A
AX2,20.52,40.173,69.917,X,A
AX2,11.687,18.19,23.564,X,A
AX2,17.576,30.526,43.417,X,A
AX2,17.861,29.888,39.851,X,A
AX2,20.713,37.683,52.254,X,A
AX2,18.65,31.867,46.789,X,A
AX2,17.044,30.271,53.824,X,A
AX2,11.337,14.881,22.371,X,A
AX2,19.182,34.554,49.054,X,A
AX2,18.634,29.728,82.616,X,A
AX2,19.017,37.657,60.833,X,A
AX2,20.1,37.782,56.286,X,A
AX2,21.448,42.455,56.844,X,A
AX2,20.665,40.917,51.108,X,A
AX2,17.297,30.097,57.705,X,A
AX2,21.024,37.839,53.863,X,A
AX2,18.486,32.244,46.292,X,A
AX2,17.025,30.471,35.538,X,A
AX2,15.87,26.139,34.061,X,A
AY1,18.564,24.267,61.104,QY,A
AY1,22.321,38.61,100.2,QY,A
AY1,20.194,28.013,72.061,QY,A
AY1,16.927,22.666,38.192,QY,A
AY1,21.339,32.433,54.481,QY,A
AY1,20.324,32.22,50.946,QY,A
AY1,24.786,41.653,66.25,QY,A
AY1,22.708,36.398,91.374,QY,A
AY1,19.005,24.546,70.734,QY,A
AY1,17.278,22.772,61.496,QY,A
AY1,22.218,33.054,81.22,QY,A
AY1,22.367,38.907,101.55,QY,A
AY1,21.999,41.364,110.249,QY,A
AY2,22.306,45.291,88.406,QY,A
AY2,25.376,53.167,70.848,QY,A
AY2,21.708,43.668,103.863,QY,A
AY2,23.256,47.256,100.414,QY,A
AY2,23.297,44.262,61.178,QY,A
AY2,25.251,53.787,72.936,QY,A
AY2,21.545,48.459,118.843,QY,A
AY2,24.423,52.318,102.705,QY,A
AZ1,18.167,28.635,54.324,Z,A
AZ1,13.459,20.593,43.013,Z,A
AZ1,22.978,48.077,88.168,Z,A
AZ1,21.501,43.709,97.56,Z,A
AZ1,24.801,51.191,100.167,Z,A
AZ1,25.35,52.483,93.63,Z,A
